province,U_R,COICOP,Products,Weight,Date,CPI,Source
0,0,1,Food and non-alcoholic beerages,3903.542834,7/1/2017,133.3449694,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/1/2017,135.4071926,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/1/2017,139.8125878,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/1/2017,142.5747453,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/1/2017,132.8922614,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/1/2017,126.6034612,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/1/2018,125.7789999,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/1/2018,126.5921,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/1/2018,129.1167689,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/10/2018,130.193691,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/10/2018,132.366326,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/10/2018,128.5835579,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/10/2018,125.777356,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/10/2018,126.8377391,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/10/2018,126.1811706,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/10/2018,122.3698022,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/10/2018,120.6658669,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/10/2018,117.8437219,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/10/2019,117.2416621,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/10/2019,117.3190067,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/10/2019,123.896485,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/10/2019,125.6900709,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/10/2019,127.556569,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/10/2019,127.1640656,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/10/2019,126.5304312,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/10/2019,131.5679871,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/10/2019,136.5348906,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/10/2019,139.792883,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/10/2019,149.3683829,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/10/2019,145.9073559,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/10/2020,143.2191591,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/10/2020,148.5094034,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/10/2020,153.7812064,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/10/2020,149.182485,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/10/2020,144.7644864,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/10/2020,145.3807545,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/10/2020,148.4742641,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/10/2020,151.9642394,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/10/2020,157.1492491,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/10/2020,159.1437661,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/10/2020,156.6929103,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/10/2020,151.7930494,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/10/2021,148.1470419,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/10/2021,149.9168018,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/10/2021,153.0660592,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/10/2021,149.7873884,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/10/2021,143.2553649,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/10/2021,143.1559216,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/10/2021,143.2791459,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/10/2021,143.2960428,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/10/2021,143.9296323,rwanda
